Configuration,Term,J,Level (cm-1),Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""4f14.6s""","=""2S""","=""1/2""","="" 0.00""","=""""","=""1.998""","=""                                                                                    ""","=""L3974"""
"=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","="" 21418.75""","=""""","=""1.145""","=""  98                :     1  (2F*<7/2>).5d2.(1S)            1[7/2]*                 ""","="""""
"=""4f13.(2F*).6s2""","=""2F*""","=""5/2""","="" 31568.08""","=""""","=""0.862""","=""  90                :     7  (2F*<7/2>)5d.6s.(3D)           3[7/2]*                 ""","="""""
"=""4f14.5d""","=""2D""","=""3/2""","="" 22960.80""","=""""","=""1.802""","=""                                                                                    ""","="""""
"=""4f14.5d""","=""2D""","=""5/2""","="" 24332.69""","=""""","=""1.202""","=""                                                                                    ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[3/2]*""","=""5/2""","="" 26759.02""","=""""","=""1.570""","=""  95                :     2                                 (2F*<7/2>)(3D) 3[5/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[3/2]*""","=""3/2""","="" 28757.98""","=""""","=""1.440""","=""  62                :    27                                 (2F*<7/2>)(1D) 1[3/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[3/2]*""","=""1/2""","="" 33653.86""","=""""","=""1.320""","=""  77                :    13                                 (2F*<5/2>)(3D) 3[1/2]*  ""","="""""
"=""4f14.6p""","=""2P*""","=""1/2""","="" 27061.82""","=""""","=""0.667""","=""                                                                                    ""","="""""
"=""4f14.6p""","=""2P*""","=""3/2""","="" 30392.23""","=""""","=""1.333""","=""                                                                                    ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[11/2]*""","=""9/2""","="" 30224.33""","=""""","=""0.935""","=""  96                :     2                                 (2F*<7/2>)(3D) 3[9/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[11/2]*""","=""11/2""","="" 30562.79""","=""""","=""1.112""","=""  92                :     4                                 (2F*<7/2>)(1D) 1[11/2]* ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[11/2]*""","=""13/2""","="" 31631.59""","=""""","=""1.230""","="" 100                                                                                ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[5/2]*""","=""7/2""","="" 31979.90""","=""""","=""1.331""","=""  69                :    28                                 (2F*<7/2>)(3D) 3[7/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[5/2]*""","=""5/2""","="" 32371.10""","=""""","=""1.170""","=""  66                :    24                                 (2F*<7/2>)(3D) 3[7/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[5/2]*""","=""3/2""","="" 32981.59""","=""""","=""0.866""","=""  85                :    10                                 (2F*<7/2>)(3D) 3[3/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[7/2]*""","=""9/2""","="" 33052.29""","=""""","=""1.264""","=""  71                :    23                                 (2F*<7/2>)(3D) 3[9/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[7/2]*""","=""5/2""","="" 34389.76""","=""""","=""1.007""","=""  51                :    29                                 (2F*<7/2>)(3D) 3[5/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[7/2]*""","=""7/2""","="" 35059.00""","=""""","=""1.124""","=""  56                :    26                                 (2F*<7/2>)(3D) 3[9/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[9/2]*""","=""7/2""","="" 33494.68""","=""""","=""0.991""","=""  65                :    15                                 (2F*<7/2>)(3D) 3[7/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[9/2]*""","=""9/2""","="" 35019.13""","=""""","=""1.158""","=""  67                :    27                                 (2F*<7/2>)(3D) 3[7/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[9/2]*""","=""11/2""","="" 35831.68""","=""""","=""1.214""","=""  77                :    20                                 (2F*<7/2>)(1D) 1[11/2]* ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(1D)""","=""1[3/2]*""","=""3/2""","="" 34575.37""","=""""","=""1.434""","=""  53                :    27                                 (2F*<5/2>)(3D) 3[1/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(1D)""","=""1[11/2]*""","=""11/2""","="" 34784.95""","=""""","=""1.119""","=""  70                :    18                                 (2F*<7/2>)(3D) 3[9/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(1D)""","=""1[5/2]*""","=""5/2""","="" 37077.59""","=""""","=""1.113""","=""  74                :    17                                 (2F*<7/2>)(3D) 3[7/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(1D)""","=""1[7/2]*""","=""7/2""","="" 37516.59""","=""""","=""1.119""","=""  80                :     9  (2F*<7/2>).5d2.(1D)            1[7/2]*                 ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(1D)""","=""1[9/2]*""","=""9/2""","="" 38342.02""","=""""","=""1.093""","=""  81                :    11  (2F*<7/2>).5d2.(1D)            1[9/2]*                 ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[1/2]*""","=""1/2""","="" 39378.89""","=""""","=""1.850""","=""  80                :    13                                 (2F*<5/2>)(1D) 1[1/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[9/2]*""","=""7/2""","="" 40035.82""","=""""","=""0.720""","=""  94                :     4                                 (2F*<7/2>)(3D) 3[9/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[9/2]*""","=""9/2""","="" 40917.91""","=""""","=""0.967""","=""  87                :     8                                 (2F*<5/2>)(1D) 1[9/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[9/2]*""","=""11/2""","="" 42915.13""","=""""","=""1.115""","=""  98                :     1                                 (2F*<7/2>)(3D) 3[9/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[3/2]*""","=""5/2""","="" 41678.73""","=""""","=""1.193""","=""  68                :    26                                 (2F*<5/2>)(3D) 3[5/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[3/2]*""","=""3/2""","="" 41688.45""","=""""","=""0.784""","=""  46                :    47                                 (2F*<5/2>)(3D) 3[5/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[3/2]*""","=""1/2""","="" 43007.79""","=""""","=""0.15""","=""  91                :     9                                 (2F*<5/2>)(1D) 1[1/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[5/2]*""","=""3/2""","="" 43075.09""","=""""","=""0.96""","=""  43                :    34                                 (2F*<5/2>)(3D) 3[3/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[5/2]*""","=""5/2""","="" 43956.41""","=""""","=""0.99""","=""  46                :    33                                 (2F*<5/2>)(3D) 3[7/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[5/2]*""","=""7/2""","="" 44438.03""","=""""","=""1.10""","=""  53                :    40                                 (2F*<5/2>)(3D) 3[7/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[7/2]*""","=""5/2""","="" 44497.51""","=""""","=""0.734""","=""  63                :    22                                 (2F*<5/2>)(3D) 3[5/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[7/2]*""","=""7/2""","="" 45429.82""","=""""","=""1.150""","=""  48                :    41                                 (2F*<5/2>)(3D) 3[5/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[7/2]*""","=""9/2""","="" 46169.78""","=""""","=""1.10""","=""  77                :    20                                 (2F*<5/2>)(1D) 1[9/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""*""","=""3/2""","="" 44940.61""","=""""","=""1.244""","=""  29  3[1/2]*       :    17  (2F*<7/2>).5d2.(3F)            3[3/2]*                 ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3F)""","=""3[5/2]*""","=""5/2""","="" 45012.79""","=""""","=""1.281""","=""  48                :    34                                 (2F*<7/2>)(3F) 3[3/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3F)""","=""*""","=""7/2""","="" 45273.02""","=""""","=""1.18""","=""  34  3[7/2]*       :    34                                 (2F*<7/2>)(3F) 3[5/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(1D)""","=""1[9/2]*""","=""9/2""","="" 45335.03""","=""""","=""1.01""","=""  65                :    20                                 (2F*<5/2>)(3D) 3[7/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3F)""","=""*""","=""3/2""","="" 45737.29""","=""""","=""1.333""","=""  34  3[3/2]*       :    22                                 (2F*<7/2>)(3F) 3[1/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3F)""","=""3[7/2]*""","=""9/2""","="" 46354.55""","=""""","=""1.29""","=""  54                :    28                                 (2F*<7/2>)(3P) 3[7/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3F)""","=""3[13/2]*""","=""11/2""","="" 46547.72""","=""""","=""0.97""","=""  82                :    14                                 (2F*<7/2>)(3F) 3[11/2]* ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3F)""","=""3[13/2]*""","=""13/2""","="" 47680.40""","=""""","=""1.12""","=""  85                :    15                                 (2F*<7/2>)(3F) 3[11/2]* ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3F)""","=""3[13/2]*""","=""15/2""","="" 48923.30""","=""""","=""1.20""","=""  96                :     4                                 (2F*<7/2>)(1G) 1[15/2]* ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3F)""","=""3[3/2]*""","=""1/2""","="" 46902.71""","=""""","=""1.30""","=""  48                :    24                                 (2F*<7/2>)(3F) 3[1/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(1D)""","=""1[3/2]*""","=""3/2""","="" 47005.46""","=""""","=""0.990""","=""  77                :     8                                 (2F*<5/2>)(3D) 3[1/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(1D)""","=""1[1/2]*""","=""1/2""","="" 47228.96""","=""""","=""0.74""","=""  50                :    14                                 (2F*<7/2>)(3D) 3[3/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(1D)""","=""1[5/2]*""","=""5/2""","="" 47329.44""","=""""","=""0.990""","=""  58                :    12  (2F*<7/2>).5d2.(3F)            3[3/2]*                 ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3F)""","=""3[11/2]*""","=""9/2""","="" 47663.52""","=""""","=""0.98""","=""  62                :    19                                 (2F*<7/2>)(3F) 3[9/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3F)""","=""3[11/2]*""","=""11/2""","="" 48503.82""","=""""","=""1.10""","=""  54                :    28                                 (2F*<7/2>)(3F) 3[9/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3F)""","=""3[11/2]*""","=""13/2""","="" 49727.19""","=""""","=""1.20""","=""  84                :    15                                 (2F*<7/2>)(3F) 3[13/2]* ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3F)""","=""*""","=""7/2""","="" 47758.54""","=""""","=""1.08""","=""  41  3[9/2]*       :    38                                 (2F*<7/2>)(3F) 3[5/2]*  ""","="""""
"=""4f13.(2F*<7/2>).6s.6p.(3P*<0>)""","=""(7/2,0)""","=""7/2""","="" 47912.31""","=""""","=""1.280""","=""  85                :    10                                 (2F*<7/2>)(3P*<1>)      ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3F)""","=""3[1/2]*""","=""3/2""","="" 48024.70""","=""""","=""1.38""","=""  53                :    30                                 (2F*<7/2>)(3F) 3[5/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3F)""","=""3[1/2]*""","=""1/2""","="" 49419.13""","=""""","=""1.41""","=""  67                :    22                                 (2F*<7/2>)(3D) 3[3/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3F)""","=""*""","=""5/2""","="" 48272.77""","=""""","=""1.14""","=""  36  3[3/2]*       :    22  (2F*<5/2>).5d.6s.(1D)          1[5/2]*                 ""","="""""
"=""4f13.(2F*<5/2>).5d.6s.(1D)""","=""1[7/2]*""","=""7/2""","="" 48556.57""","=""""","=""0.941""","=""  81                :    11  (2F*<5/2>).5d2.(1D)            1[7/2]*                 ""","="""""
"=""4f13.(2F*<7/2>).6s.6p.(3P*<1>)""","=""(7/2,1)""","=""7/2""","="" 48900.41""","=""""","=""1.0""","=""  82                :    11                                 (2F*<7/2>)(3P*<0>)      ""","="""""
"=""4f13.(2F*<7/2>).6s.6p.(3P*<1>)""","=""(7/2,1)""","=""9/2""","="" 49301.16""","=""""","=""1.187""","=""  89                :     5                                 (2F*<7/2>)(1P*<1>)      ""","="""""
"=""4f13.(2F*<7/2>).6s.6p.(3P*<1>)""","=""(7/2,1)""","=""5/2""","="" 49498.04""","=""""","=""1.145""","=""  83                :     6                                 (2F*<7/2>)(1P*<1>)      ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3F)""","=""3[9/2]*""","=""7/2""","="" 49008.93""","=""""","=""1.03""","=""  43                :    15                                 (2F*<7/2>)(3F) 3[5/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3F)""","=""3[9/2]*""","=""9/2""","="" 49916.50""","=""""","=""1.090""","=""  52                :    31                                 (2F*<7/2>)(3F) 3[11/2]* ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3F)""","=""3[9/2]*""","=""11/2""","="" 50468.05""","=""""","=""1.213""","=""  49                :    28                                 (2F*<7/2>)(3F) 3[11/2]* ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3F)""","=""*""","=""3/2""","="" 50832.65""","=""""","=""0.956""","=""  35  3[5/2]*       :    30                                 (2F*<7/2>)(3F) 3[3/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3F)""","=""*""","=""5/2""","="" 51248.86""","=""""","=""1.034""","=""  40  3[7/2]*       :    25                                 (2F*<7/2>)(3F) 3[5/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(1G)""","=""1[1/2]*""","=""1/2""","="" 52067.87""","=""""","=""0.54""","=""  67                :    20                                 (2F*<7/2>)(3F) 3[3/2]*  ""","="""""
"=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""11/2""","="" 52517.35""","=""""","=""1.27""","=""  95                :     4  (2F*<7/2>).5d.6p.(3P*<2>)                              ""","="""""
"=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""3/2""","="" 52938.01""","=""""","=""0.877""","=""  95                :     4  (2F*<7/2>).5d.6p.(3P*<2>)                              ""","="""""
"=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""5/2""","="" 53404.96""","=""""","=""1.033""","=""  89                :     5  4f13.(2F*<7/2>).6s.6p.(3P*<1>)                         ""","="""""
"=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""7/2""","="" 53715.26""","=""""","=""1.181""","=""  93                :     4  (2F*<7/2>).5d.6p.(3P*<2>)                              ""","="""""
"=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""9/2""","="" 53720.71""","=""""","=""1.26""","=""  95                :     4  (2F*<7/2>).5d.6p.(3P*<2>)                              ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3P)""","=""3[7/2]*""","=""9/2""","="" 52880.75""","=""""","=""1.26""","=""  45                :    35                                 (2F*<7/2>)(3F) 3[7/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3P)""","=""3[7/2]*""","=""7/2""","="" 52921.62""","=""""","=""1.15""","=""  51                :    36                                 (2F*<7/2>)(3F) 3[7/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3P)""","=""3[7/2]*""","=""5/2""","="" 53120.58""","=""""","=""0.944""","=""  67                :    10                                 (2F*<7/2>)(3F) 3[7/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(1G)""","=""1[3/2]*""","=""3/2""","="" 52987.76""","=""""","=""1.131""","=""  61                :    12                                 (2F*<5/2>)(3F) 3[3/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(1G)""","=""1[15/2]*""","=""15/2""","="" 53322.89""","=""""","=""1.04""","=""  96                :     4                                 (2F*<7/2>)(3F) 3[13/2]* ""","="""""
"=""4f13.(2F*<7/2>).5d2.(1D)""","=""1[7/2]*""","=""7/2""","="" 53644.89""","=""""","=""1.18""","=""  45                :    13                                 (2F*<5/2>)(3F) 3[5/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d2.(3F)""","=""*""","=""5/2""","="" 53716.38""","=""""","=""1.183""","=""  32  3[5/2]*       :    19                                 (2F*<7/2>)(1D) 1[5/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(1D)""","=""1[11/2]*""","=""11/2""","="" 54192.51""","=""""","=""1.11""","=""  70                :     8                                 (2F*<7/2>)(3F) 3[9/2]*  ""","="""""
"=""4f14.7s""","=""2S""","=""1/2""","="" 54304.30""","=""""","=""2.001""","=""                                                                                    ""","="""""
"=""4f13.(2F*<7/2>).5d2.(1D)""","=""1[9/2]*""","=""9/2""","="" 54640.82""","=""""","=""1.13""","=""  60                :    10                                 (2F*<7/2>)(3P) 3[7/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(1D)""","=""1[3/2]*""","=""3/2""","="" 55221.46""","=""""","=""1.11""","=""  56                :    22                                 (2F*<7/2>)(3P) 3[5/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3P)""","=""3[9/2]*""","=""7/2""","="" 55462.68""","=""""","=""0.878""","=""  62                :    22                                 (2F*<5/2>)(3F) 3[9/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3P)""","=""3[9/2]*""","=""9/2""","="" 56088.39""","=""""","=""1.11""","=""  63                :    10                                 (2F*<7/2>)(1G) 1[9/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3P)""","=""3[9/2]*""","=""11/2""","="" 56621.15""","=""""","=""1.16""","=""  64                :    14                                 (2F*<7/2>)(1G) 1[11/2]* ""","="""""
"=""4f13.(2F*<7/2>).5d.6p.(3F*<2>)""","=""(7/2,2)""","=""3/2""","="" 55702.07""","=""""","=""1.693""","=""  76                :     8                                 (2F*<7/2>)(3F*<3>)      ""","="""""
"=""4f13.(2F*<7/2>).5d.6p.(3F*<2>)""","=""(7/2,2)""","=""5/2""","="" 58823.58""","=""""","=""1.266""","=""  36                :    20  (2F*<7/2>).6s.6p.(1P*<1>)                              ""","="""""
"=""4f13.(2F*<7/2>).5d.6p.(3F*<2>)""","=""(7/2,2)""","=""11/2""","="" 58961.37""","=""""","=""0.974""","=""  74                :    21                                 (2F*<7/2>)(1D*<2>)      ""","="""""
"=""4f13.(2F*<7/2>).5d.6p.(3F*<2>)""","=""(7/2,2)""","=""7/2""","="" 61051.06""","=""""","=""1.18""","=""  64                :    18                                 (2F*<7/2>)(1D*<2>)      ""","="""""
"=""4f13.(2F*<7/2>).5d.6p.(3F*<2>)""","=""(7/2,2)""","=""9/2""","="" 61214.66""","=""""","=""1.07""","=""  54                :    30                                 (2F*<7/2>)(1D*<2>)      ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3P)""","=""*""","=""5/2""","="" 56056.91""","=""""","=""1.12""","=""  32  3[5/2]*       :    32                                 (2F*<7/2>)(3F) 3[5/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6p.(1P*<1>)""","=""""","=""5/2""","="" 56375.91""","=""""","=""1.226""","=""  24  (7/2,1)       :    22  (2F*<7/2>).6s.6p.(1P*<1>)                              ""","="""""
"=""4f13.(2F*<5/2>).5d2.(3F)""","=""3[11/2]*""","=""9/2""","="" 56480.77""","=""""","=""0.76""","=""  94                :     3                                 (2F*<7/2>)(3P) 3[9/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d2.(3F)""","=""3[11/2]*""","=""11/2""","="" 58051.51""","=""""","=""0.95""","=""  99                                                                                ""","="""""
"=""4f13.(2F*<5/2>).5d2.(3F)""","=""3[11/2]*""","=""13/2""","="" 59632.21?""","=""""","=""""","=""  93                                                                                ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3P)""","=""3[5/2]*""","=""7/2""","="" 56500.64""","=""""","=""1.352""","=""  77                :     8                                 (2F*<7/2>)(3P) 3[7/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3P)""","=""3[5/2]*""","=""5/2""","="" 57798.51""","=""""","=""1.151""","=""  50                :    22                                 (2F*<7/2>)(1D) 1[5/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(3P)""","=""3[5/2]*""","=""3/2""","="" 58162.75""","=""""","=""0.94""","=""  60                :    18                                 (2F*<7/2>)(1D) 1[3/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d2.(3F)""","=""*""","=""3/2""","="" 56840.04""","=""""","=""0.90""","=""  40  3[5/2]*       :    19                                 (2F*<5/2>)(3F) 3[3/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d2.(3F)""","=""3[1/2]*""","=""1/2""","="" 56977.71""","=""""","=""2.19""","=""  90                :     8                                 (2F*<5/2>)(3F) 3[3/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d2.(3F)""","=""3[1/2]*""","=""3/2""","="" 59777.07""","=""""","=""1.63""","=""  71                :    21                                 (2F*<5/2>)(3F) 3[3/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d2.(1G)""","=""1[7/2]*""","=""7/2""","="" 57103.02""","=""""","=""1.10""","=""  82                :    11                                 (2F*<7/2>)(1D) 1[7/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d2.(3F)""","=""3[9/2]*""","=""7/2""","="" 57534.45""","=""""","=""0.87""","=""  54                :    16                                 (2F*<5/2>)(3F) 3[7/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d2.(3F)""","=""3[9/2]*""","=""9/2""","="" 59046.89""","=""""","=""1.08""","=""  57                :    24                                 (2F*<5/2>)(3F) 3[7/2]*  ""","="""""
"=""4f13.(2F*<5/2>).5d2.(3F)""","=""3[9/2]*""","=""11/2""","="" 61442.82""","=""""","=""1.11""","=""  91                :     4                                 (2F*<7/2>)(1G) 1[11/2]* ""","="""""
"=""4f13.(2F*<7/2>).5d2.(1G)""","=""1[13/2]*""","=""13/2""","="" 57561.62""","=""""","=""1.04""","=""  94                :     5                                 (2F*<5/2>)(1G) 1[13/2]* ""","="""""
"=""4f13.(2F*<7/2>).6s.6p.(1P*<1>)""","=""(7/2,1)""","=""9/2""","="" 57765.32""","=""""","=""1.12""","=""  45                :    36  (2F*<7/2>).5d.6p.(1P*<1>)                              ""","="""""
